,exp_iso3,group,year,av_degree,clustering,modularity,avg_duration,super,seq0.5,seq0.75
3603,CAN,hake,1997,5.82857142857143,0.182632880098888,0,0,1.111246974,0,0
3604,CHL,hake,1997,5.82857142857143,0.182632880098888,0,0,0.95680195,0,0
3605,ESP,hake,1997,5.82857142857143,0.182632880098888,0,0,1.075951,0,0
3606,PRT,hake,1997,5.82857142857143,0.182632880098888,0,0,0.7377651,0,1
3607,URY,hake,1997,5.82857142857143,0.182632880098888,0,0,0.9144669,0,0
3608,USA,hake,1997,5.82857142857143,0.182632880098888,0,0,0.78455485175,0,0
3609,NZL,hake,1997,5.82857142857143,0.182632880098888,0,0,1.168684,0,0
3610,PER,hake,1997,5.82857142857143,0.182632880098888,0,0,0.8819768,0,0
3611,FLK,hake,1997,5.82857142857143,0.182632880098888,0,0,1.278522,0,0
3612,ARG,hake,1998,6.40579710144928,0.207881512827294,0,0.657894736842105,1.2002655,0,0
3613,BRA,hake,1998,6.40579710144928,0.207881512827294,0,0,0.6426962,0,1
3614,CAN,hake,1998,6.40579710144928,0.207881512827294,0,0.133333333333333,1.03843355166667,0,0
3615,CHL,hake,1998,6.40579710144928,0.207881512827294,0,0.4,0.97994035,0,0
3616,ESP,hake,1998,6.40579710144928,0.207881512827294,0,0.578947368421053,1.398132,0,0
3617,PER,hake,1998,6.40579710144928,0.207881512827294,0,0.368421052631579,0.42501,1,1
3618,PRT,hake,1998,6.40579710144928,0.207881512827294,0,0.8,0.7149276,0,1
3619,URY,hake,1998,6.40579710144928,0.207881512827294,0,0.259259259259259,0.8809254,0,0
3620,USA,hake,1998,6.40579710144928,0.207881512827294,0,0.275862068965517,0.71991229525,0,1
3621,NZL,hake,1998,6.40579710144928,0.207881512827294,0,0.347826086956522,1.155552,0,0
3622,FLK,hake,1998,6.40579710144928,0.207881512827294,0,1,1.284981,0,0
3623,BRA,hake,1999,6.08571428571429,0.212081245054075,0,0,0.6703729,0,1
3624,CAN,hake,1999,6.08571428571429,0.212081245054075,0,0.25,1.02108387366667,0,0
3625,CHL,hake,1999,6.08571428571429,0.212081245054075,0,0.434782608695652,0.87109675,0,0
3626,ESP,hake,1999,6.08571428571429,0.212081245054075,0,0.604651162790698,1.457146,0,0
3627,PER,hake,1999,6.08571428571429,0.212081245054075,0,0.5,0.4240995,1,1
3628,PRT,hake,1999,6.08571428571429,0.212081245054075,0,0.7,0.8035023,0,0
3629,URY,hake,1999,6.08571428571429,0.212081245054075,0,0.35,0.8814213,0,0
3630,USA,hake,1999,6.08571428571429,0.212081245054075,0,0.344827586206897,0.74071689575,0,1
3631,NZL,hake,1999,6.08571428571429,0.212081245054075,0,0.533333333333333,1.111773,0,0
3632,ARG,hake,1999,6.08571428571429,0.212081245054075,0,0.777777777777778,0.94727715,0,0
3633,FLK,hake,1999,6.08571428571429,0.212081245054075,0,1,1.231412,0,0
3634,BRA,hake,2000,5.92207792207792,0.172718585762064,0,0,0.6729506,0,1
3635,CAN,hake,2000,5.92207792207792,0.172718585762064,0,0.333333333333333,1.02495616633333,0,0
3636,CHL,hake,2000,5.92207792207792,0.172718585762064,0,0.44,0.81541845,0,0
3637,ESP,hake,2000,5.92207792207792,0.172718585762064,0,0.533333333333333,1.065544,0,0
3638,PRT,hake,2000,5.92207792207792,0.172718585762064,0,0.5,0.7781201,0,0
3639,URY,hake,2000,5.92207792207792,0.172718585762064,0,0.321428571428571,0.7728685,0,0
3640,USA,hake,2000,5.92207792207792,0.172718585762064,0,0.428571428571429,0.74544824025,0,1
3641,PER,hake,2000,5.92207792207792,0.172718585762064,0,0.387096774193548,0.3961986,1,1
3642,NZL,hake,2000,5.92207792207792,0.172718585762064,0,0.466666666666667,1.255702,0,0
3643,ARG,hake,2000,5.92207792207792,0.172718585762064,0,0.878787878787879,1.032752,0,0
3644,FLK,hake,2000,5.92207792207792,0.172718585762064,0,0.333333333333333,1.231169,0,0
3645,BRA,hake,2001,6.20253164556962,0.19140708915145,0,0,0.8322461,0,0
3646,CAN,hake,2001,6.20253164556962,0.19140708915145,0,0.0714285714285714,1.09803666266667,0,0
3647,CHL,hake,2001,6.20253164556962,0.19140708915145,0,0.4,0.91793225,0,0
3648,ESP,hake,2001,6.20253164556962,0.19140708915145,0,0.571428571428571,0.8979614,0,0
3649,PER,hake,2001,6.20253164556962,0.19140708915145,0,0.478260869565217,0.3038463,1,1
3650,PRT,hake,2001,6.20253164556962,0.19140708915145,0,0.571428571428571,0.7545908,0,0
3651,USA,hake,2001,6.20253164556962,0.19140708915145,0,0.5,0.8146578565,0,0
3652,NZL,hake,2001,6.20253164556962,0.19140708915145,0,0.411764705882353,1.342277,0,0
3653,URY,hake,2001,6.20253164556962,0.19140708915145,0,0.323529411764706,0.629477,0,1
3654,ARG,hake,2001,6.20253164556962,0.19140708915145,0,0.823529411764706,1.070002,0,0
3655,FLK,hake,2001,6.20253164556962,0.19140708915145,0,1,1.212973,0,0
3656,BRA,hake,2002,6.34210526315789,0.203665139525198,0,0.2,0.7310651,0,1
3657,CAN,hake,2002,6.34210526315789,0.203665139525198,0,0.0588235294117647,1.09891312466667,0,0
3658,ESP,hake,2002,6.34210526315789,0.203665139525198,0,0.711111111111111,0.7810349,0,0
3659,NZL,hake,2002,6.34210526315789,0.203665139525198,0,0.5,1.210731,0,0
3660,PRT,hake,2002,6.34210526315789,0.203665139525198,0,0.533333333333333,0.7453793,0,1
3661,URY,hake,2002,6.34210526315789,0.203665139525198,0,0.382352941176471,0.8349042,0,0
3662,USA,hake,2002,6.34210526315789,0.203665139525198,0,0.5,0.76072853725,0,0
3663,ARG,hake,2002,6.34210526315789,0.203665139525198,0,0.674418604651163,0.9776563,0,0
3664,CHL,hake,2002,6.34210526315789,0.203665139525198,0,0.32258064516129,0.77475885,0,0
3665,PER,hake,2002,6.34210526315789,0.203665139525198,0,0.9,0.546378,0,1
3666,FLK,hake,2002,6.34210526315789,0.203665139525198,0,1,1.258589,0,0
3667,BRA,hake,2003,6.15384615384615,0.17438239568196,0,0,0.7093961,0,1
3668,CAN,hake,2003,6.15384615384615,0.17438239568196,0,0.133333333333333,1.071091467,0,0
3669,ESP,hake,2003,6.15384615384615,0.17438239568196,0,0.6875,0.6304378,0,1
3670,NZL,hake,2003,6.15384615384615,0.17438239568196,0,0.6,1.23924,0,0
3671,PER,hake,2003,6.15384615384615,0.17438239568196,0,0,0.4648991,1,1
3672,PRT,hake,2003,6.15384615384615,0.17438239568196,0,0.733333333333333,0.7777153,0,0
3673,URY,hake,2003,6.15384615384615,0.17438239568196,0,0.457142857142857,0.8213741,0,0
3674,USA,hake,2003,6.15384615384615,0.17438239568196,0,0.428571428571429,0.6679482605,0,1
3675,ARG,hake,2003,6.15384615384615,0.17438239568196,0,0.630434782608696,1.02294925,0,0
3676,CHL,hake,2003,6.15384615384615,0.17438239568196,0,0.413793103448276,0.67188345,0,1
3677,FLK,hake,2003,6.15384615384615,0.17438239568196,0,0.2,1.370556,0,0
3678,BRA,hake,2004,6.40476190476191,0.185165421558164,0,0,0.6913627,0,1
3679,CAN,hake,2004,6.40476190476191,0.185165421558164,0,0.148148148148148,1.013876275,0,0
3680,ESP,hake,2004,6.40476190476191,0.185165421558164,0,0.739130434782609,0.5665222,0,1
3681,PRT,hake,2004,6.40476190476191,0.185165421558164,0,0.476190476190476,0.8006504,0,0
3682,URY,hake,2004,6.40476190476191,0.185165421558164,0,0.588235294117647,0.822879,0,0
3683,USA,hake,2004,6.40476190476191,0.185165421558164,0,0.516129032258065,0.66803203,0,1
3684,CHL,hake,2004,6.40476190476191,0.185165421558164,0,0.413793103448276,0.6866659,0,1
3685,ARG,hake,2004,6.40476190476191,0.185165421558164,0,0.64,1.0799929,0,0
3686,NZL,hake,2004,6.40476190476191,0.185165421558164,0,0.470588235294118,1.186345,0,0
3687,PER,hake,2004,6.40476190476191,0.185165421558164,0,0,0.236217,1,1
3688,FLK,hake,2004,6.40476190476191,0.185165421558164,0,0.5,1.448858,0,0
3689,BRA,hake,2005,6.80459770114942,0.181098901098901,0,0,0.6785361,0,1
3690,CAN,hake,2005,6.80459770114942,0.181098901098901,0,0.310344827586207,0.928136981,0,0
3691,CHL,hake,2005,6.80459770114942,0.181098901098901,0,0.394736842105263,0.6928359,0,1
3692,ESP,hake,2005,6.80459770114942,0.181098901098901,0,0.679245283018868,1.157392,0,0
3693,PER,hake,2005,6.80459770114942,0.181098901098901,0,0,0.4417229,1,1
3694,PRT,hake,2005,6.80459770114942,0.181098901098901,0,0.555555555555556,NA,NA,NA
3695,USA,hake,2005,6.80459770114942,0.181098901098901,0,0.533333333333333,0.71248248975,0,1
3696,ARG,hake,2005,6.80459770114942,0.181098901098901,0,0.725490196078431,0.92840475,0,0
3697,URY,hake,2005,6.80459770114942,0.181098901098901,0,0.522727272727273,0.6865391,0,1
3698,NZL,hake,2005,6.80459770114942,0.181098901098901,0,0.571428571428571,1.236377,0,0
3699,FLK,hake,2005,6.80459770114942,0.181098901098901,0,0.125,1.493249,0,0
3700,BRA,hake,2006,7.17073170731707,0.183756805807622,0,0.2,0.6589944,0,1
3701,CAN,hake,2006,7.17073170731707,0.183756805807622,0,0.34375,0.966347480666667,0,0
3702,ESP,hake,2006,7.17073170731707,0.183756805807622,0,0.740740740740741,0.5283078,0,1
3703,PRT,hake,2006,7.17073170731707,0.183756805807622,0,0.578947368421053,0.5206029,0,1
